Titre,Localisation,Nbr_Chambres,Surface_m2,Prix_FCFA,Image
À louer – magnifique appartement meublé 3 chambres à ngor,"Ngor, Dakar",non précisé,,1100000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/c57ca8c798a7293428ef9024f2efdbe3/-/horizon-files-prod/ed/picture/qrzr60rx/80561b6c9ef7c651e666bd4fb57278b0a51e4148.jpg
Joli appartement sur la vdn cité sipres mourtala,"Vdn, Dakar",2 chambre,100.0,35000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/2dcbd39757159c05e8df5f196c20c867/-/horizon-files-prod/ed/picture/qd6me50/aa00e1152dbd4252ce6449fe5434ad82cdccae26.jpg
Superbe villa meublée à louer à la cité diobas à thiès,"Thiès, Thiès",2 chambre,200.0,35000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/2c881b9d0dcc4036d8cd34e9955296da/-/horizon-files-prod/ed/picture/qwep4675/b920f4c52f04e73c9d25e8e928930e4b24742b3a.jpg
Studio meublé sud foire,"Sud Foire, Dakar",non précisé,,25000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/a03e6cd67d46ba697a534ddd38da1a24/-/horizon-files-prod/ed/picture/qwez9v45/095e5260b5af494d152ac1954db3926f38757685.jpg
Appartement meublé de type f3 avec vue / mer louer à ngor,"Ngor, Dakar",2 chambre,120.0,58000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/f198e79229c0e421f9bf14f9fa8cf06e/-/horizon-files-prod/ed/picture/qngpw82r/7a3b1e04d1250751677632b3c8f1f478edbf93f9.jpg
Appartement meublé à louer à la cité mixta,"Cite Mixta, Dakar",non précisé,,30000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/c0f0f589b784bc7e6fc1b22cf0033651/-/horizon-files-prod/ed/picture/qj4jkn8z/104bb816f088bb57c3514587f0000d20ce458628.jpg
"Appartements à ""kalia zone de captage","Zone De Captage, Dakar",non précisé,,45000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/9a4e73ae378aca2d1fc1df28ed435a72/-/horizon-files-prod/ed/picture/qm5gv526/0c5cf827a401d116fd4952f1ab2a63bc02c01627.jpg
Appartement meublé 2 chambres keur gorgui,"Cité Keur Gorgui, Dakar",2 chambre,80.0,35000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/d7073424c8f2621313ba0a33d246aa6e/-/horizon-files-prod/ed/picture/qde7rrxr/8ac40e0f229bcdb33691eeb4b32ce09b62fc145f.jpg
Studio meublé mamelle,"Mamelles, Dakar",non précisé,,20000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/0ad819fc82d1ec5a8607a88a482337c3/-/horizon-files-prod/ed/picture/q6xd7knd/44f582d62274a676eae3798cd1b6ce86b7415b63.jpg
Appartement meublé à louer,"Cite Mixta, Dakar",non précisé,,19000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/8bc151e38909fa4559ad8e9251318322/-/horizon-files-prod/ed/picture/qwerp656/6c6667d4146627d7968e5b6a9d6dfa8db017e3e6.jpg
Suite meublée à louer sur sacre coeur 3,"Sacré-Cœur, Dakar",non précisé,,25000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/497324d456832ffb25997330ee605c99/-/horizon-files-prod/ed/picture/qwepx6q5/dff6487cfa51110c6d4420f5e1558966c27a717b.jpg
Mini studio meublé au monument de la renaissance,"Ouakam, Dakar",non précisé,,13500,https://i.roamcdn.net/hz/ed/listing-thumb-224w/083185a5570101fa556eb76db42ffe3a/-/horizon-files-prod/ed/picture/q9mk085x/e3b8dd4e7470bb89953ff954b704e7f1a832dad4.jpg
Appartement meublé à louer,"Mermoz, Dakar",non précisé,,20000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/d97627a93dd7dbb10954c4905138dc2a/-/horizon-files-prod/ed/picture/qwernw9p/eb89d52a1fe2acaa9bfa3de3c326f1f942b32636.jpg
Grande chambre salle de bain climatisee,"Ouest Foire, Dakar",2 chambre,90.0,13000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/d3c1252b0a4d6adfff5d57747c8af7a0/-/horizon-files-prod/ed/picture/qxj8wqqq/71957fa3fc5d36d898abaa5f93b4e877f7a4962f.jpg
Appartement meublé f4 à louer,"Fenêtre Mermoz, Dakar",4 chambre,170.0,1550000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/737a6ecf64a43a62a6a392c0f09ec15d/-/horizon-files-prod/ed/picture/qkr8ngj8/24c0c3c25116f5e7765aa253667e9f31a8ee5620.jpg
Appartement meublé f4 à louer,"Fenêtre Mermoz, Dakar",3 chambre,180.0,2000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/fc1628c0b816769b8e66c4cd12b440b8/-/horizon-files-prod/ed/picture/qxjper72/072331d71c0f43e38fb3dfbff5025ec60e36f3e3.jpg
Bel appartement yoff océan,"Yoff, Dakar",2 chambre,60.0,30000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/cc47628f72329a72d08c9a30b6d9548b/-/horizon-files-prod/ed/picture/q2957zv/87a00fe220378e4731bc4f665d1b658b11442287.jpg
"Appartement ouakam corniche 1,2,3 chambres","Ouakam, Dakar",non précisé,,25000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/41964c30deef0bd585bc8cfa02ebc1c3/-/horizon-files-prod/ed/picture/q0g78jjd/bbbc8be1b8b20f4f045ee86e46d8a994dbeb3917.jpg
