Titre,Localisation,Surface_m2,Prix_FCFA,Image
Appartement vefa f3 à vendre aux almadies,"Almadies, Dakar",119.0,115000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/2f869b8b1b06bd1a116c5a5cdd71cf62/-/horizon-files-prod/ed/picture/qgqm56em/1ff060f07468d6edd69df60d2d17f329a1e1b3ec.jpg
Appartements à vendre au point e,"Point-E, Dakar",,39112000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/d02f6084bcd2ecb7f6fdc6fbea897074/-/horizon-files-prod/ed/picture/qwer25pd/60eeeb7e3fc6accb0a29175af0dbb92cec68d125.png
Appartements à vendre à yoff,"Yoff, Dakar",73.0,65000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/3c176dacf99ca73bcb8bb8db8e1d5b16/-/horizon-files-prod/ed/picture/qgqmpr6q/7cef4e2d91f726fdca0d670b1ba4bb742e7e5eb3.jpg
Bel appartement à vendre à fann mermoz,"Fann, Dakar",,108000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/56fe6589419ab2b461769f2e067fbcee/-/horizon-files-prod/ed/picture/qenr5685/d77f3af33946050a0d1a0eca914177f99617b288.jpg
Appartement a vendre au virage,"Virage, Dakar",195.0,195000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/bb7a461c415fb0c09c99bb5eebf43c40/-/horizon-files-prod/ed/picture/qenvr7kz/31cd6ee96430a4563aa84fdae8c6e32533c92d9f.jpg
Appartement à vendre,"Mermoz, Dakar",177.0,212000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/000985b2d1678790df2fb700e500cd66/-/horizon-files-prod/ed/picture/qxj27qdq/582b0dda41104ea176f80248325d779176cc1cd6.jpg
Appartements à vendre sur la vdn à la cite keur gorgui,"Cité Keur Gorgui, Dakar",,150000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/ff1b77ce08a2cc6ee6de39aa4e777dc6/-/horizon-files-prod/ed/picture/q0gkggj8/31af451da65078172f95c0adaa190377efa7ba1f.jpg
Appartements f4 neufs à vendre à liberté 6,"Liberte 6, Dakar",130.0,78000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/79056ee8613601423c23b84908eef830/-/horizon-files-prod/ed/picture/qv4dg08p/bea11f0d18a30acfe94c50746365e492106fd7b2.png
Appartement f3 neuf à vendre liberté 6 extension,"Liberte 6 Extension, Dakar",101.0,110000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/6effcfe47445e74b39f5104e52a565d1/-/horizon-files-prod/ed/picture/qpdmnnmr/233a6323cd041251d80fd2cc61100411df37a667.jpg
Vente appartement f3 vefa au rdc,"Almadies, Dakar",140.0,126000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/c89ed3ce73c3d1120a769222a4eb1388/-/horizon-files-prod/ed/picture/qzv8z579/65030d537dd67f9610126b964c7a6d52072d9849.jpg
Residence habw,"Hann Maristes, Dakar",128.0,87000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/198c5e9a11feffa49d38d27e4f06ed17/-/horizon-files-prod/ed/picture/q56x6w8r/1d0511e33a304ad3772bf52b103cfff050897d97.jpg
Residence amira f5 haut standing,"Almadies, Dakar",200.0,200000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/74ef2bde1ec07f4b096fd49c9a9bffba/-/horizon-files-prod/ed/picture/qgqw8244/524e61e68f72eaeb04ffba9dace5695e97f98f94.jpg
Residence m.a.d f5 haut standing,"Cité Keur Gorgui, Dakar",286.0,230000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/62869ba9d70f0f857f88565a5c8464e7/-/horizon-files-prod/ed/picture/qxjpq48m/7e51d51e11414c0cee356bc524bcd204e138540a.jpg
Al makhtoum residence,"Vdn, Dakar",275.0,288000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/f15bbbc933316e2c54fdbde1927bec9c/-/horizon-files-prod/ed/picture/q4454gpr/93ecd9f0f4207fa633b7daedb39066a0b53f175b.jpg
F5 - f6 appartement + 250m2 haut standing à vendre,"Mermoz, Dakar",305.0,255000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/7ab8f32ec9363d2e9b922925c45bb3b8/-/horizon-files-prod/ed/picture/qzvdxwn9/3206015d989efdd1cf5a358477e17ed65de411d4.jpg
Résidence d square à vendre aux almadies,"Almadies, Dakar",157.0,135000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/c2f0e5a97a950d9ea91f4f4bb92a184b/-/horizon-files-prod/ed/picture/qv44e85j/d7620a6ca910699445046ac9b954b77d35d0435c.jpg
Résidence edge,"Yoff, Dakar",256.0,185000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/d2680860d46efb771dfa93d50f1aaa22/-/horizon-files-prod/ed/picture/qxj6vd04/de7fd33f94d178d6037dddccc6e02fba8a5eb221.png
Superbes appartements f5 à vendre au centre-ville,"Plateau, Dakar",275.0,550000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/7e8de3b7aa443d38184513382ce57a49/-/horizon-files-prod/ed/picture/q0g7q8xx/1e6ed6d7cf4f41572187ea0525522ce81f371ed1.jpg
Appartement f3 à vendre à mermoz,"Mermoz, Dakar",105.0,105000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/f078d6c57b108706caa8c97dba82febf/-/horizon-files-prod/ed/picture/qrzrqp7j/76833890117a5207213129a40df1a075975872c2.jpg
Vente d’un magnifique appartement/ corniche almadies,"Almadies, Dakar",,190000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/6ae9d040e65a8df33e75a84493b8381a/-/horizon-files-prod/ed/picture/qenrr4jz/2da1e01799c941bbde05bdf3297ee6f90fca98d9.jpg
F2 meublé à vendre à ngor,"Ngor, Dakar",50.0,45000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/5227966069f3750bdf01c9f0b7d6cb2a/-/horizon-files-prod/ed/picture/q78jpmg8/6238327c43b9164d5428e78f072219a2bb26a6f4.jpg
Appartement f4 à vendre,"Sicap Sacré-Cœur, Dakar",147.0,115000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/b68bd99d2ae3aa9424f3d2814737613b/-/horizon-files-prod/ed/picture/qpdg07nm/d637e7e22be7db65dd4a05b6c22a3a7ffc2e38c3.jpg
Appartement f4 à vendre à mermoz,"Mermoz, Dakar",200.0,200000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/15ae0515f16652b3f5ac5972308da15f/-/horizon-files-prod/ed/picture/q0gkwpzk/416e5bc9b14d9269d88e9af957492a79ba531ce1.jpg
