Titre,Localisation,Surface_m2,Prix_FCFA,Image
Bel appartement f3 à louer aux mamelles,"Mamelles, Dakar",,450000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/90a41d262c0eb95f8af4e8e3d7c6bbb9/-/horizon-files-prod/ed/picture/q0gw6mnd/b130c29fd5adca3cc7160753a50b61ef6fbc54a8.jpg
Studio à louer à ouakam,"Ouakam, Dakar",,250000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/6b0e124b9699c14e92c4cb77d1a59bc1/-/horizon-files-prod/ed/picture/qkr76qmx/160043e2b0d8a5b8c52d6670fd9c50713f647727.jpg
Appartement f3 à louer,"Ouakam, Dakar",,350000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/a06fd9358641ffeea43a3dd68e9f26f6/-/horizon-files-prod/ed/picture/q0gk8zpe/be0af3475426e7d8da6cb209c1a0627f9d87effa.jpg
Appartement à louer aux almadies,"Almadies, Dakar",146.0,1500000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/dc6338060473e758d42b0dfb4bc8d7ee/-/horizon-files-prod/ed/picture/q56x0jpx/a1de1bc0046ecf1f1fe1d480897f3a3c65a7e8c7.jpg
A louer hann mariste appartement f5,"Hann Maristes, Dakar",200.0,400000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/f23bc259dc89cf5723a67fb0604d2315/-/horizon-files-prod/ed/picture/qq4259mv/6bcadc2c9b1349282ece966fb79dfbc03f6e1305.jpg
À louer appartement standing neuf aux maristes,"Hann Maristes, Dakar",200.0,400000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/c507b4b6a3f07b1f63040fd93d80fd5e/-/horizon-files-prod/ed/picture/qngx4ezm/26246ba92778f63d53fa8b70916c6a7c3ef72cca.jpg
Appartement à louer sur sacré cœur,"Sacré-Cœur, Dakar",,850000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/7a29ff1c2e60abab724630e5cfb0127a/-/horizon-files-prod/ed/picture/qj4qv7mz/4de48bf3a8a03d858efc78ef2e27f925bf97f060.jpg
Appartement neuf et moderne à ngor socabeg,"Ngor, Dakar",180.0,575000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/1410583ede22d351a60ccb1b16a8d41d/-/horizon-files-prod/ed/picture/qm500qed/8afb3fa0b958ffb4b91de26699168b786ad5b526.jpg
Appartement neuf grand standing en bordure de route,"Mamelles, Dakar",160.0,575000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/15a4d4d2fbd4c6bb584eee395c35d564/-/horizon-files-prod/ed/picture/q8vmkn5j/6efb7b8e11cb9f8fa70d17b425f4c0924804587c.jpg
Appartement f4 à louer mermoz cité batrain pas de courtier,"Mermoz, Dakar",150.0,450000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/e571d624cc51a33c3be8fb3d08678742/-/horizon-files-prod/ed/picture/q4454ng5/d4e7ef63e548f2c89232db249ce1620d0b2b1f47.jpg
Almadies appartement route du king fhad,"Almadies, Dakar",,2300000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/95495f4a1158e2a9ef0ddd5624114bd1/-/horizon-files-prod/ed/picture/q6xdn67z/4a83c2743052a74f2c3197684ef7b3f181b893fc.jpg
Appartement f4 à louer aux almadies,"Almadies, Dakar",,1500000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/d2caa70eab290cf78d63c3d458703262/-/horizon-files-prod/ed/picture/qq4zz62v/a5c0d4d97dbf6d6e064941e1916d74895dab18be.jpg
Appartement à louer,"Almadies, Dakar",,350000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/89ef86dc27fb14ec2bb8c38a9bad953f/-/horizon-files-prod/ed/picture/qj46pnpr/c526d8f21400cf0d2ed6473a9c765d7cb3a42979.jpg
Appartement f3 à louer almadies,"Almadies, Dakar",,400000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/279d5e8549a9ac20f31854b40761d0d6/-/horizon-files-prod/ed/picture/qpdgn7xm/b2e98070efd094ab02b0e8a56217cd77a581b8bc.jpg
Appartement f5 à louer aux almadies,"Almadies, Dakar",280.0,1500000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/27d188dbb7c9eb65aa5c79e0429f7469/-/horizon-files-prod/ed/picture/q9mjpknx/13210b501160119558130dabc7bdea65b0e69272.jpg
Plateau loft à louer vue sur mer partout 4 chambres,"Plateau, Dakar",300.0,3500000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/7d08985c2be4b5ba19e34077c952726f/-/horizon-files-prod/ed/picture/qv4wg0nw/192164f9bf90e66b6beaa7600606a48b8c6880ee.jpg
Point e/ très beaux appartements disponibles à palazzo suit,"Point-E, Dakar",123.0,800000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/b3b860cef67e2c02c6e0d12a980f07bb/-/horizon-files-prod/ed/picture/qq4z7846/6ee97e9d6214ccc6e27fe69606948561bcf4cd66.jpg
Studios et f3 à louer à ngor almadies,"Almadies, Dakar",,,https://i.roamcdn.net/hz/ed/listing-thumb-224w/072f2f957048a70a1a25d95525198803/-/horizon-files-prod/ed/picture/qde9d2xw/c68ce9c97cea9814d9a4cadd5d28ad64bb781202.jpg
Appartements aux almadies,"Almadies, Dakar",,415000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/9f368d9cbcfeadb84b1574f390633c35/-/horizon-files-prod/ed/picture/q8vm55z0/e0d0182ab1979e34fc39eff280849c132a6dd586.jpg
Appartements à louer cite biagui,"Cité Biagui, Dakar",,350000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/5244b4ecd3fe7c00c90b31771766a05e/-/horizon-files-prod/ed/picture/q56p4rmp/bb70030a929b95ac6e114d994ef5470c24c8d9ca.jpg
Appartements à louer cite biagui,"Cité Biagui, Dakar",,400000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/329835df6bdfa68f8b759c7c21b33168/-/horizon-files-prod/ed/picture/q2jkr84q/87baccd302fafeb6ec41ca2219e4c3c209c2462f.jpg
Appartements f5 point e,"Point-E, Dakar",,700000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/8c7757f22a810bd5567609bbf844a968/-/horizon-files-prod/ed/picture/qj4q9j2v/05f76e7ec19c493b56d9e9994be9340a96d1c457.jpg
Appartement à golf sur plage malibu,"Guediawaye, Dakar",160.0,250000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/a92b82fcd9cc3c65047dfd6556195a95/-/horizon-files-prod/ed/picture/q56px2pp/87c149975ab34b0009aeb72b88e5a06423e766cc.jpg
Appartements f4 point e,"Point-E, Dakar",,600000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/62da7ec42244aa41315e689961344034/-/horizon-files-prod/ed/picture/qpdmrw7p/21126aa9e5f809abb774452cdfdda4c0a1031537.jpg
Magnifique duplex au mamelles,"Mamelles, Dakar",200.0,750000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/c0a8c28366859928ba946a29fdc4ab34/-/horizon-files-prod/ed/picture/q8vm5006/f410f4b667cf57fd631360744cd9c1ff54ce15f6.jpg
Appartements aux almadies,"Almadies, Dakar",,700000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/104a264a32db0649a89690e783e0f283/-/horizon-files-prod/ed/picture/qq42pr64/7dd40e0448062d8a49ea5a940f7aee34aae8ab5d.jpg
Appartement à louer aux mamelles,"Mamelles, Dakar",,300000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/84d08cc1765df865095c2adc947717c1/-/horizon-files-prod/ed/picture/qgqwe8mn/8f9cd6a8b6186a2138d23634036da21b503991c8.jpg
Appartement à louer ngor-almadies,"Almadies, Dakar",,500000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/ab2b86c2eddb7663939bc28fec40a661/-/horizon-files-prod/ed/picture/q2j0pe5q/704bbdf58f15768a6e1582b4b2cf488f431cf4fe.jpg
Appartement à louer aux almadies,"Almadies, Dakar",,500000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/915b5586e4f1c30fbafdac634976acc7/-/horizon-files-prod/ed/picture/qwergjw5/a59e4c7bf5132409b925ffdf87d517124127e44a.jpg
Joli appartement ngor almadies en face école bilingue,"Almadies, Dakar",168.0,400000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/74b492ee82ca5a102c41a378a839231d/-/horizon-files-prod/ed/picture/qwep79dz/89a0c52137919624e7317bc1dc632a02110ed23a.jpg
Appartements f4 disponible au palazzo suit,"Point-E, Dakar",145.0,900000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/159cd10808637651eecc4b02d874163f/-/horizon-files-prod/ed/picture/q2jk79dp/33a332f4a327d338883da3d30c784268491f40db.jpg
Appartement à louer à ouakam,"Ouakam, Dakar",,350000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/d8134c38cf1f2f019239034e6d4bc137/-/horizon-files-prod/ed/picture/qq42xgze/74ad753cf0f1e70497588c56e35c1fa150d1a1ca.jpg
